#Date/Time;of;Update:;2017-11-20;3:07:27;PM;#Player;ID;#LastName;#FirstName;#Jersey;Num;#Position;#Height;#Weight;#Birth;Date;#Age;#Birth;City;#Birth;Country;#Rookie;#Team;ID;#Team;Abbr.;#Team;City;#Team;Name
;10137;Diallo;Cheick;13;F;"6'9""";220;1996-09-13;21;;;N;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;9473;Diaw;Boris;33;PF;"6'8""";250;1982-04-15;35;Corneilles-en-Parisis;France;N;98;UTA;Utah;Jazz;;;;;;;;;;;;;;
;9340;Dieng;Gorgui;5;C;"6'11""";241;1990-01-18;27;Kebemer;Senegal;N;100;MIN;Minnesota;Timberwolves;;;;;;;;;;;;;;
;9209;Dinwiddie;Spencer;18;PG;"6'6""";200;1993-04-06;24;Los Angeles, CA;USA;N;84;BRO;Brooklyn;Nets;;;;;;;;;;;;;;
;13890;Donovan;Billy;;C;;;;;;;N;96;OKL;Oklahoma;City;Thunder;;;;;;;;;;;;;
;13816;Dorsey;Tyler;2;SG;"6'4""";183;1996-02-14;21;Pasadena, CA;USA;Y;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
;13861;Dotson;Damyean;21;G;"6'5""";210;1994-05-06;23;;;Y;83;NYK;New;York;Knicks;;;;;;;;;;;;;
;9364;Douglas;Toney;16;PG;"6'2""";195;1986-03-15;31;;;N;107;MEM;Memphis;Grizzlies;;;;;;;;;;;;;;
;13820;Doyle;Milton;;G;"6'4""";184;1993-10-31;24;;USA;Y;84;BRO;Brooklyn;Nets;;;;;;;;;;;;;;
;13847;Dozier;PJ;35;G;"6'7""";201;1996-10-25;21;Columbia, SC;USA;Y;96;OKL;Oklahoma;City;Thunder;;;;;;;;;;;;;
;9314;Dragic;Goran;7;PG;"6'3""";190;1986-05-06;31;;;N;92;MIA;Miami;Heat;;;;;;;;;;;;;;
;9202;Drummond;Andre;0;C;"6'11""";279;1993-08-10;24;;;N;88;DET;Detroit;Pistons;;;;;;;;;;;;;;
